disc,label
testing dht22 adn bmp280 with esp8266 12 and an 3 aaa eneloop 1 5 accu cells sample every 6 min voltagebatt is via internal adc systems is powerd with 3v using a low drop ht7330 regulator,t
water closet temp,t
home weather station,w
internal temp,t
th 009,u
trying out the wifi module,u
smart indoor workplace based on human data analytics,u
weather in nazare portugal,w
background radiation milford mi 48380,o
ice devices on the internet,u
data from poolpi and three ds18b20,o
weather in leiria portugal,w
health parameters from my server,o
weather in tomar portugal,w
weather station detects temperature humidity barometric pressure and incident light,w
send a message through media social,o
total kwh consumption and prediction,e
these datas are streamed from solar tracker system at central electric power college vietnam,e
temperature and humidity sensor,t
smart monitoring system for temperature humidity and light intensity,t
it will send the weight using iot,o
iot channel of sc fridingen,u
a low cost open source weather station in zakopane poland bme280 raspberrypi esp8266,w
meteorological station temperature humidity and thermal sensation esp8266,w
home electricity usage,e
live measure of the earths magnetic field large peeks indicate the chance of aurora,o
weather and related returning from imp,w
will collect and send over garden vital data,u
channel for home made weather weather station powered by raspberry pi zero located in ipswich ip1 uk,w
sensor to gas and flamme,o
2nd wifi weather sensor inside,w
iot workshop,u
iot workshop,u
iot workshop,u
iot workshop,u
iot workshop,u
monitor my home pool temperature and air temperature,t
iot workshop,u
iot workshop,u
mh_greenhouse_co_gasii,u
monitor the temp and humidity inside a guitar case,t
