author,disc,channel_num,type,azure_keywords
ehcehc,collection of readings from different sensors,306005,u,collection of readings
amann98,this graph will show how much water is loged,532857,o,water
radu7,channel for arduino yun in basement,112723,u,channel
bortolot,weather station,259567,w,weather station
robger,using chirp a capacitive humidity sensing with esp8266 for my potted plants,275937,o,capacitive humidity sensing
mahinda,6 x 290w pv panels in string outputting about 220v dc through msw inverter in to hot water cylinder 2kw,179918,e,w pv panels
egorbaryshnikov,creating a sensor,569770,u,sensor
joalheagney,a domestic residence in kallangur brisbane,226378,u,domestic residence
laulau68,data presented here is from an weatherduino air quality monitor development system,365326,w,data
nolbwithad,thermistor based temperature sensor,336593,t,thermistor
bhaskararaosanta,transmitting temperature to thingspeak,572325,t,temperature
cdietz476,testing,570670,u,testing
mjkrasny,prototype platform for self powered sensing station,570673,u,prototype platform
ziadalkalza,gather data from 3 sensors and display it,570676,u,sensors
beowuulff,recreational vehicle,252885,u,recreational vehicle
ayushinema,iot workshop,573713,u,iot workshop
guru25,hey hi,571677,u,
nitin82,stores temperature sensor reading,573710,t,stores temperature sensor
rzumbuehl,kpis of my pv system,258730,e,kpis
bamboe32,weather in odemira portugal,357061,w,weather
bamboe32,weather in serpa portugal,357060,w,weather
bamboe32,weather in m rtola portugal,357063,w,weather
bamboe32,weather in castro verde portugal,357062,w,weather
bamboe32,weather in tavira portugal,357065,w,weather
bamboe32,weather in almod var portugal,357064,w,weather
bamboe32,weather in faro portugal,357066,w,weather
bamboe32,weather in aljezur portugal,357069,w,weather
bamboe32,weather in lagos portugal,357068,w,weather
pj3126,water level temperature and humidity,360897,o,water level temperature
psomrang,humidity adsorption,315639,o,humidity adsorption
astrahhan,moschato,256646,u,moschato
ln8j6h,monitors rssi of 2 routers,394213,o,rssi
pakucera,decagon 2d sonic anemometer to measure wind direction wind speed and gust for golf app applications,124532,o,d sonic anemometer
cardosocea,data from my home,217288,u,data
kenwong,to learn iot,573529,u,iot
hippo112,create a channel as part of iot training 11 sept 2018,573524,u,iot training
sinnovationlab,pm 10 2 5 sensor not certified treat it approximate educational purpose,384154,u,approximate educational purpose
jking777,temperature and pressure sensor connected to a pi zero,318693,t,temperature
travish,nbn internet connection fttn currently in pakenham on a 100 speed tier speedtest runs automatically on pfsense firewall and uploading results to thingspeak a few times a day,213456,o,speed tier
japicasa,bat watchers,296063,o,bat watchers
hajihosseinlu,the beta version of our aquahive is measuring the following parameter and uploads them to the cloud,308177,o,beta version
magnuslundell,backupheater for greenhouses,93193,o,backupheater
jvamstel,weatherstation with arduino controller of dennis,392219,w,weatherstation
geedub,monitoring a raspberrypi controlling an aquaponics setup,413571,o,raspberrypi
supeyevz,diy home kit based on esp32,571446,u,diy home kit
henpae,temperature and humidity with dht22 and rasppi3 in hamburg germany,461587,t,rasppi3
sonnenschein,temperature and humidity of the room,63615,t,temperature
msim2247,weather station,260978,w,weather station
trensonahee,monitor sump water level takes reading every 15 seconds,391747,o,seconds
randtekk,testing version of weather station the data comes from a weather station i designed and built it is still in development both hardware and software so some gaps erroneous readings are expected,463187,w,gaps erroneous readings
tallikafan,temperature logging with multiple raspberry pi,403911,t,multiple raspberry pi
kratochviljan,home meteo station,306027,u,home meteo station
zacems,outside temp monitoring,480710,t,temp monitoring
deimos1994,shows temperature inside outside basement attic and also shows mains electricity ac voltage measurements data updates every minute,300978,t,temperature
lucianhalmes,2np bathroom,569755,u,np bathroom
lucianhalmes,1np hall bathroom 1np 102 103,569750,u,np hall bathroom
lizasaigina,system for analysing air condition designed specifically for nursery schools and disabled people,569751,o,disabled people
lucianhalmes,previous revision saved sensor named as 2np hall and stored in thingspeak as 2np 2ndroom continuing data stream bad allocation,569758,u,thingspeak
willjm,temp check via raspberry pi,226602,t,temp check
perryjamesjapan,temperature from adafruit huzzah esp8266 using sparkfun tmp102,229369,t,sparkfun tmp102
steenl,updated hourly ideal hive temp is 33 37 but reported temp appears consistently 5deg below this expected range,435229,t,expected range
tomsk31,track temperatures and status from home automation,22558,t,home automation
timshep,humidity and temperature monitoring over 30 day period,414530,t,day period
EnvironmentMonitor,the environmental readings from socially rented accommodation by renfrewshire council,73594,o,environmental readings
punto100,solar gas heating near sofia,455910,o,solar gas heating
vkalenic,module reported data from dht 11 and powered by battery,220837,t,module
johndoe8967,monitors radioactivity,116522,o,radioactivity
stanleyarduino,arduino meteo czech republic weather station homemade,282464,w,arduino meteo czech republic weather station homemade
mutton74,using a sodaq explorer connected to the things network then mqtt via nodered into thingspeak,256496,u,sodaq explorer
grundelmeyer,temperature humidity barometric pressure and tank water level at vincentia nsw,410305,t,temperature humidity barometric pressure
digipix,checking how the automower 305 is receiving charge,493948,o,charge
loczars26,a channel that we can store our data of nodemcu that connect to gps neo6m,570240,u,channel
brucekitchell,monitor temperature and humidityliving,571502,t,temperature
jimfong777,esp8266 house monitor,186342,u,esp8266 house monitor
ethan890,test data to send to the server from esp32,542164,u,test data
preachermanx,this will show the temp and humidity in the mining room,418210,t,humidity
harithahoney,to find the distance,571656,u,distance
bgrtv402,ultrasonic waves,571657,o,ultrasonic waves
djmobley,monitor garage state information,558243,o,garage state information
bamboe32,weather in chaves portugal,357049,w,weather
bamboe32,weather in povoa de varzim portugal,357042,w,weather
bamboe32,weather in sam es portugal,357041,w,weather
bamboe32,weather in vila real portugal,357040,w,weather
bamboe32,weather in refojos de basto portugal,357046,w,weather
bamboe32,weather in areosa portugal,357045,w,weather
bamboe32,weather in braga portugal,357044,w,weather
acedm95,temperature logs from my home,438152,t,temperature logs
erik84750,controller and radio rx from arduino_duty_cycle_measurement_v12,491375,o,cycle
jryoung,cycle test hybrid heater,512494,o,cycle test hybrid heater
naveengt,to monitor any analogue sensor value,571880,o,analogue sensor value
kburghardt,absolute humidity computation helper channel,345726,o,absolute humidity computation helper channel
simon0362,ambient and water temperatures light and ph to follow,311628,t,water temperatures light
andres100329511,it receives bpm data from a bbc micro bit and sends it to the cloud,572982,u,cloud
ppet36,monitoring raspberry pi on my home rpi handles my smart home via openhab,460433,u,raspberry pi
montali,sensors connected through esp8266 module,140023,u,sensors
tewhites,sense door position and close,571463,o,sense door position
nguyenhaibo2f11,light and temperature data from nodemcu8266,485543,t,light
mundo1974,mundo weather station,314716,w,mundo weather station
svinzant,air temperature in the greenhouse,60946,t,air temperature
aungzawphyo,digital temperature and humidity sensor barometric sensor water level sensor pressure sensor win speed and win direction,571790,t,digital temperature
jasonang,fermentation tank temperature monitoring and control,21028,t,fermentation tank temperature monitoring
jpjcb66,sonde 18s20 bas ballon,12190,o,sonde 18s20 bas ballon
mcreek67,weather data collected at kingaroy queensland australia,390836,w,kingaroy queensland australia
svendsen92,this channel shows the data generated by a homemade solar heating control system,257973,e,channel
kykle168,this is a test,393949,u,test
mrwatt,weather station using dht22 and air quality using mq135 sensor with an arduino mega board powered by simone cecchetti mr watt s r l,536159,w,dht22
andresjag,a2 longford,403930,u,a2 longford
palserver,pal server outside temp and humidity,556585,t,pal server
ubdfit,temperature and humidity measured with esp01 dht11,574101,t,temperature
umangprajapati,history of internet,572473,o,history of internet
houleb,temperature sensors in the greenhouse,343230,t,temperature sensors
petrporeg,wi fi rssi level with esp8266,407543,o,wi fi rssi level
intelekiot003,smart monitoring systemto monitor temperature humidity and light intensity,453667,t,light intensity
redshiftman,living room temperature control,233075,t,room temperature control
thihle18,get the ambient temperature and humidity data,574091,t,ambient temperature
ecethesis001,readings from the apds9930 ambient light sensor and lm 35 temperature sensor,561584,t,apds9930 ambient light sensor
anrada73,1 my server hmip online,399614,u,server hmip
aelbrecht,sensors that measure the moisture in the soil,537053,o,sensors
chen77777,text,573484,u,text
simont65,data collection of background radiation count dose temperature humidity atmospheric pressure,332386,t,data collection of background radiation count dose temperature humidity atmospheric pressure
simon0362,test system for temperature monitoring against the depth of fuel in the ch oil tank measured ultrasonically 9cm full 120cm 1200l consumed,311198,t,test system
redhawk454,esp8266 nodemcu 12e with bme280,358838,t,esp8266 nodemcu
mrowkampico,current voltage measurement from ina219,563269,e,current voltage measurement
rahul078,it detect the air pollution in the air,571635,o,air pollution
hloupis,air quality station from lorathens network ilion,326550,o,network ilion
ahnchul76,ach_temp humid room2,546066,t,temp humid room2
canonymousj,monitor the fridge temperatures testing stage,521572,t,fridge temperatures
dutchieholland,this channel captures the moisture levels of up to two sensors,208536,o,channel
amignec,migneco house,163526,u,migneco house
tigunmath,temperature humidity sensor sht15 of sensirion,219771,t,temperature humidity sensor sht15 of sensirion
h2odynamite,location nearby royal flora chiang mai around 2500m,360857,u,location
al525i,dht11 temp humidity stream from humidor,521149,t,dht11 temp humidity stream
waileong95,detect the temperature,569464,t,temperature
rsoft1,mini weather station v2 bme280 si7021 ds18b20 ssd1306 pir kharkiv ukraine,178434,w,mini weather station v2 bme280 si7021 ds18b20 ssd1306 pir kharkiv ukraine
thevickerridge,available water supply,511085,o,available water supply
ppet36,esp8266 thing measuring indoor temperature and humidity on my cottage,382438,t,humidity
fullspanllc,29 pleasant st outdoor sensor,469398,u,outdoor sensor
dipturn,household electricity consumption,177523,e,household electricity consumption
dinesh280444,temperature and humidity sensor,567985,t,temperature
nan98aug,iot workshop,573724,u,iot workshop
anishaagra,iot workshop,573722,u,iot workshop
hhssss,dht22 temperature humidity sensor driven by a raspberry pi 2 running a python script,541096,t,python script
asexauer,testing dht22 adn bmp280 with esp8266 12 and an 3 aaa eneloop 1 5 accu cells sample every 6 min voltagebatt is via internal adc systems is powerd with 3v using a low drop ht7330 regulator,223197,t,low drop ht7330 regulator
cabinauto,water closet temp,466718,t,water closet temp
philipp1221,home weather station,553845,w,home weather station
etunyogi,internal temp,448159,t,internal temp
woinova,th 009,310164,u,th
lokrayshre,trying out the wifi module,570758,u,wifi module
ecethesis001,smart indoor workplace based on human data analytics,551621,u,smart indoor workplace
bamboe32,weather in nazare portugal,357025,w,weather
rnmnw8r,background radiation milford mi 48380,220221,o,background radiation milford mi
lijinraj,ice devices on the internet,7894,u,ice devices
dlindval,data from poolpi and three ds18b20,362981,o,data
bamboe32,weather in leiria portugal,357021,w,weather
aprades,health parameters from my server,293897,o,health parameters
bamboe32,weather in tomar portugal,357022,w,weather
guanbo0327,weather station detects temperature humidity barometric pressure and incident light,122191,w,incident light
maizatul98,send a message through media social,572983,o,message
ijtvalencia,total kwh consumption and prediction,568105,e,total kwh consumption
locan2408,these datas are streamed from solar tracker system at central electric power college vietnam,387449,e,datas
felusch,temperature and humidity sensor,512049,t,temperature
intelekiot002,smart monitoring system for temperature humidity and light intensity,453641,t,smart monitoring system
ishan111,it will send the weight using iot,571185,o,weight
scfridingen,iot channel of sc fridingen,360449,u,iot channel of sc fridingen
podtatrami,a low cost open source weather station in zakopane poland bme280 raspberrypi esp8266,264743,w,zakopane poland bme280 raspberrypi esp8266
dr35lmdr,meteorological station temperature humidity and thermal sensation esp8266,574118,w,thermal sensation esp8266
pzsolt,home electricity usage,437738,e,home electricity usage
spectrum5337,live measure of the earths magnetic field large peeks indicate the chance of aurora,438056,o,chance of aurora
ryanlloydmiller,weather and related returning from imp,328867,w,weather
dellobake,will collect and send over garden vital data,574113,u,garden vital data
keithellis,channel for home made weather weather station powered by raspberry pi zero located in ipswich ip1 uk,226647,w,channel
willianschelles,sensor to gas and flamme,573467,o,sensor
mellenmb,2nd wifi weather sensor inside,507187,w,wifi weather sensor
nidhirajdev,iot workshop,573727,u,iot workshop
saloni2110,iot workshop,573725,u,iot workshop
anil286,iot workshop,573723,u,iot workshop
somesh777,iot workshop,573720,u,iot workshop
diksha32,iot workshop,573721,u,iot workshop
pughjsus,monitor my home pool temperature and air temperature,302861,t,home pool temperature
msengar6,iot workshop,573728,u,iot workshop
shivani2802garg,iot workshop,573729,u,iot workshop
patcher,mh_greenhouse_co_gasii,417174,u,mh
ecorbett,monitor the temp and humidity inside a guitar case,213795,t,humidity
user,disc,channel_id,label,disc
lemonkey,temperature of imac cpu in f,462511,t,temperature of imac cpu
richardo82,exp8266 ccs811 bme280 ir distance sensor michaelson interferometer vibration,48896,o,exp8266 ccs811 bme280 ir distance sensor michaelson interferometer vibration
aishvarya5,this fetches fitbit data and plot the calories data,572911,o,fetches fitbit data
sourav15100,arduino based project,561646,u,arduino
mletizia7794,shows if the huddle room is available or not,325308,o,huddle room
trjw,instantaneous performance data from my inverter,26390,e,instantaneous performance data
khongpt,switch room 311 temperature,531494,t,room
thingspeak1953,off grid solar wind system,424836,e,grid solar wind system
hornychz,data presented here are from my weatherduino pro2 meteo station aqm development system from cz brandys l,327199,w,data
dutchieholland,maintains the averages for each sensor,208557,u,averages
baurd,with alphasense opc n2,295702,u,alphasense opc n2
lemonkey,raspberry pi sense hat sensor readings from the shop,295708,u,shop
aawjik1,tracks your mood and sound,275503,o,mood
danee66,temp humidity and heat index from dht22 connected to esp8266,68281,t,dht22
vbandke,esp8266 01 base weather data transmitter,513058,w,base weather data transmitter
velaganaresh4d8,ultrasonic using iot,573916,o,iot
alaa5246,raspberry pi at work,573912,o,raspberry pi
raszowdom1,8xport temperatury,400521,t,xport temperatury
texx23,channel for visualization outdoor meteo data temperature humidity and air pressure in vut brno,432138,t,channel
hosam_eldin,server room monitoring,242145,o,server room
MelihKey,dht11 temp and humidity sensor at greenhouse,290739,t,humidity sensor
jachristensen,monitors for utility power outages and high water level in sump,879,e,utility power outages
codycushing,particle photon with environmental sensors,382189,w,particle photon
ilwckb252,sensor 120 box at trees water level,406292,o,trees water level
kahhu3,temperature humidity pressure,430289,t,temperature humidity pressure
serbannistor,dallas semiconductor ds18b20 temperature sensor attached to a adafruit huzzah esp8266 board to monitor the temperature in the storage room,87574,t,storage room
asilcock,temperature of lwp2 6th floor,334346,t,temperature of lwp2
francobollo,office 243 temperature,214793,t,office
ashishshukla78,helping plants get optimum air light temperature humidity and soil moisture using an array of micro controllers sensors actuators and wifi,92080,t,plants
qwaz1234,esp8266 micropython raspberry pi mosquitto mqttwarn,342872,o,esp8266 micropython raspberry pi mosquitto mqttwarn
docblock,this is a test case for the sensors,572085,o,sensors
hkuspace,from bmp180,408033,o,bmp180
artisans,we provide a community hub and have a network of volunteers working closely with our town and county councils local police and health board we provide regular weekly and also one off events for the community,391722,o,events
Madou1992,upload data from stm32 with esp2866,570779,o,upload data
x123123,sensor used pms7003,290432,o,sensor
djinnming,data storage for weather station and subsequent data prediction,557724,w,subsequent data prediction
barrow4491,weatherduino pro2 plus,408290,o,weatherduino pro2
estave,pig easy sow feeder 6,559895,o,easy sow feeder
estave,pig easy sow feeder 2,559891,o,easy sow feeder
estave,pig easy sow feeder 4,559893,o,easy sow feeder
thaumaturge,weather sensors run by pic16f628 microcontroller data read by rpi and uploaded using curl on linux updates every 20 min,331473,w,curl
jamarena,memory usage,344722,o,memory usage
aluiziorn,energy produced and battery charging data,233298,e,energy
lumirkus,meteorologic station in rumburk,209930,o,meteorologic station
chrismoran,temperature in the big display tank,573700,t,temperature
shruti2406,stores temperature sensors readings,573703,t,stores temperature sensors readings
srishti10,stores temperature sensor readings,573704,t,stores temperature sensor readings
akshar123,stores temperature sensor readings,573708,t,stores temperature sensor readings
tssiot,read temperature and humidity from dht22 on wemos d1 mini,359837,t,dht22
skybutterfly,sending data from raspberry to thingspeak,573442,o,data
dllcf2002,zalishchyky gimnasia meteostation based on esp8266 board,361732,u,esp8266 board
gun007,ch1 collect temperature and humidity data from adafruit feather esp8266 module,395910,t,adafruit feather esp8266 module
yhhuangntu,csbb thermal monitor from ds18b20 sensor,103703,t,ds18b20 sensor
tiquis,test weather channel,126817,w,test weather channel
thidiyas3d,with connectivity we thrive,570998,u,connectivity
huminsky92,inductive sensing,486791,o,inductive sensing
kuriosimperium,there is heat in se serverroom,314286,t,se serverroom
dalitton,electric imp connected to max31855 thermocouple amp from adafruit reading glass fusing kiln temperature,223016,t,glass
jameshudson09,temp of the spa,531129,t,temp
parksm69,temperature humidity dust of soonmin park living room,64611,t,room
naveenvaid,status location,572871,u,status location
dolfwolkov,test for thing speak,363528,o,test
koroito,myhouse east 2nd outside,342043,u,myhouse
tomascary,temperature in miner room,458862,t,temperature
sensors,dht22 temperature humidity sensor driven by a raspberry pi 2 running a python script,324453,t,python script
brianfordin,open or closed what is the temperature,167405,t,temperature
jackvandongen,digital smart meter readings every five minutes the dsm connected particle sends out a telegram regarding the actual kwh1 kwh2 and m3gas values,565015,t,digital smart meter readings
tmxmobile1,am2301 humidity and temperature sensor sonoff th16,470428,t,am2301 humidity
lindsaytrott,mckinley hive weight change in the last 10 minutes and the last 20 minutes,293304,o,mckinley hive weight change
honzabrecka,8 x 240w solar panels schutten and 2 kw direct dc water heater,10184,e,direct dc water heater
jleenhouts,temperatures in laundry room,293285,t,temperatures
roboticgnomelab,this channel displays data collected by the flc robotic gnome lab buoy timecontrol routinely runs a matlab script to parse analyze the data and post it to this channel,438240,o,matlab script
spalky,collecting temp pressure humidity data,368739,t,temp pressure humidity data
pny,wireless temperature and humidity monitor located in link,4293,t,wireless temperature
pny,wireless temperature and humidity monitor located in link,4292,t,wireless temperature
w61235678,monitor temperature and humidity from my dry aged room,504578,t,dry aged room
nypsmartcampus,fish pond monitoring system,556183,o,fish pond monitoring system
rogfri,testing esp8266 with ds18b20 batterypower,214514,e,esp8266
peteh59,temperature humidity and light level in guest bedroom,277385,t,temperature humidity
nymare,collect and send all wifi data,327740,o,wifi data
griesu62,vaillant vrc 410 heating device monitoring,266302,t,heating device monitoring
sully503,remote temperature and humidity monitor data sent via wifi through a router to thing speak for interpolation operates 24 7 and allows temperature recording for applications needing logging capabilities,266928,t,applications
naren4141,to know the status of classroom power control,572575,e,status of classroom power control
amirulamzar,this is gas detector project,572570,o,gas detector project
kissada,test temp project research,524285,t,test temp project research
atharejaz,inventory,572578,o,inventory
HugoHavn,read temperature humidity and carbondioxide arduino nano and esp 01 is used,305516,t,temperature humidity
flash03,it begins finally,571484,u,
bioc0765,updated every 10 min,477411,u,
laurens1977,temperature and humidity in bielefeld,542001,t,temperature
kettle,a variety of sensors and arduinos nodemcu collecting data around my house,323408,o,data
ncchristen,thingspeak make channel for rpi with bme280 and pms7003,558324,o,rpi
alagupandi,to monitor any analog sensor value,571909,o,analog sensor value
ziltec01,photon and bmp280,265786,o,photon
davidbird,esp8266 and bme280 outside temperature humidity and pressure sensor,317063,o,temperature humidity
pesa11,foxtrot adatok,265788,u,foxtrot adatok
ppet36,energy monitoring for my cottage it based on esp8266 current transformer precision rectifier with opamp and mcp3421 18bit a d converter,157732,e,cottage
atbates,south ealing station,268261,u,south ealing station
herokun,some info about the isar river in munich like water level water flow and water temperature taken from http hnd bayern de and updated quarter hourly,310723,t,isar river
dango9999,esp8266 with ds18b20,62123,o,esp8266
natashaparwani24,iot workshop,573760,u,iot workshop
deepatidar1998,iot workshop,573766,u,iot workshop
adminit,stores temperature sensor reading,573764,t,stores temperature sensor
ok2sro,lancontroller tinny v2,50862,u,lancontroller tinny v2
matthimax,weather and water well conditions,282750,w,weather
joelgeri,thats mr edison to you,573425,u,thats mr edison
sensorla,nus l2 people counter,430923,u,nus l2 people
antonionav,esp8266 standalone with dht11,338373,o,esp8266 standalone
bianchirider,solar powered weather station in a bird house 15 minute sample rate,374687,w,solar powered weather station
starscreen,sensors dht22 and ds18b20 in our greenhouse air temperature humidity,103580,t,greenhouse air temperature humidity
jackbeanstock1,solar power weather station,262787,w,solar power weather station
jfmergen,geiger counter with counts min other sensors to be added counter is located in baltimore,425163,o,counts
richdonn,front room temprature,453108,t,room temprature
c4sius,weather station at office,161325,w,weather station
sunny7488,temperature and rh of rm1201,279899,t,temperature
tomgeorge,testing esp32 installation,527701,o,esp32 installation
tel1203,environmental measurement at ckp vislab office,298025,w,ckp vislab office
tuczap,shinyei ppd42 air quality sensor 1 3 temperature humidity sesnor 1 0,250150,t,temperature humidity sesnor
useless1001,another test with another account,244192,o,test
novanostron4,data collected from the lodge,203920,u,data
jessedc,tracking the solar system,445104,o,solar system
netprince,office sensors,438824,o,office sensors
slavrent,temperature and hummidity sensors from flat tukhachevskogo 25,99958,t,temperature
costinstroie,weather station powered by nodemcu sensors bme280 tsl2561,212922,w,weather station
bukhary,mini project for computer interfacing,572766,u,mini project
cedronics,all the work related to cedar and juniper,570529,u,cedar
nisone,raspberry,570523,u,raspberry
rushikesh117,temperature humidity,570527,t,temperature humidity
paramathma,for interfacing labview,573956,o,interfacing labview
cleeve7,weather station bishops cleeve gloucestershire uk,14664,w,weather station bishops cleeve gloucestershire uk
juzzie_tspk3,arduino based geiger counter w sbm 19 geiger tube and uv sensor,567582,o,geiger counter w sbm
whimmler,some outdoor infos,252414,w,outdoor infos
sreeraju12,my room temperature read from lm35 on arduino,572604,t,lm35
eldhose123,learning temperature to cloud,572605,t,temperature
bigjohnson,second ups statistics,125440,o,ups statistics
trackerj,nextempmon battery test,511534,e,nextempmon battery test
atxguitarist,temperature in chicken coop,295304,t,temperature
dammwj,records barometric pressure,233318,w,barometric pressure
preet9,weather from dht11,571800,w,weather
rosslagoy,temperature and humidity of asi ramm screen room,339764,t,temperature
rberkelm,soil moisture monitoring at jasmin and new citrus slopes,273991,o,soil moisture monitoring
pipzed,temperature humidity sensors esp8266 am2320 with a lipo charger under over voltage protection and 3 7v 780mah lipo battery,257611,t,voltage protection
simwill2,this is a test with nodemcu,242450,o,test
timmeh22,temperature and humidity sensor located in the living room,380399,t,living room
jankusy12345,teploty_metyl,245456,u,teploty
gzilly,local weather data in k nigsbach stein germany,435058,w,local weather data
monique28,iot workshop,573730,u,iot workshop
djorev,nodemcu esp8266 bme280 weather station,381761,w,nodemcu esp8266 bme280 weather station
baurd,with alphasense opc n2 running on alternator power,318099,e,alphasense opc n2
karthikeya05,automatic weather station,492754,w,automatic weather station
richardgreen1976,home weather station,256881,w,home weather station
rodkwate88,this is channel for agrihealth by kolatel,572594,u,channel
ecgecrajkot,sensor data from nodemcu is communicated to thingspeak,572593,o,sensor data
periloso,an lnd7317 tube has been connected through the theremino geiger sensor to an esp8266 tasmota firmware,382238,o,lnd7317 tube
pfleming,outside temp barometer and humidity,297264,t,temp barometer
mecuy62,weather station esp8266 bmp280 bme280 dht22,305396,w,weather station esp8266 bmp280 bme280 dht22
zitounesup1,aqi index computed from a wheatherduino station,338963,w,aqi index
sinux01,temperatures humidity and luminosity sensors,142129,t,temperatures humidity
andrew1976,count pulses from 3 sources and relay to server,573008,o,relay
dafounder,wemos d1 mini lite read temperature and humidity from dht22,556416,t,humidity
garlieb,radmon plus with bme680 sensor,400953,o,radmon
asadkhanak47,iot workshop,573745,u,iot workshop
komalsadhwani22,iot workshop,573747,u,iot workshop
kalpeshshah1008,this project is ment for temperature monitering on the live basis,570299,t,ment
jimmylamhk,my first weather station with 2 sensors,207105,w,weather station
deathkiller183,only temperature in celcius,572831,t,temperature
andriyhz,ternopil real time outdoor air quality monitor point 1,371428,o,ternopil real time outdoor air quality monitor point
terryephillips,weather station bought in spring of 2017 from karl berger,340865,w,weather station
pwk451,fan status 0 fan off 1 fan on,573409,o,fan status
pwk451,light status 0 light off 1 light on,573408,e,light status
albar2018,outdoor weather data rheinzabern germany,434228,w,outdoor weather data rheinzabern germany
polaraditia,show room sensing,439347,o,room
pwk451,device control 0 lighton 1 lightoff 2 fan on 3 fan off,573405,o,lighton
jmlgrant,from some raspberry pi with dht22,216541,u,raspberry pi
celiagarrido93,welcome to ecosense thingspeak channel,218708,o,ecosense thingspeak channel
daynagan,ict weather station,573461,w,weather station
seawoods,esp8266 bme280 lacrosse anemometer and rain gauges modified,127185,w,rain gauges
sfchan,monitor temperature humidity and heat index,145737,t,temperature humidity
saguntudu,audrino based heart beat monitoring system,571757,o,heart beat monitoring system
ahunter10_tspk4,wet monitor,12075,u,wet monitor
manhnn17,outer temperature real values humidity probably not good values of 2x dht22 bme280 for comparition of sensors output esp8266,358216,t,comparition of sensors
pfp8808,wireless outdoor thermometer esp8266 ds18b20,46888,t,wireless outdoor thermometer esp8266 ds18b20
auteres,let the force be,323613,u,force
maartenpennings,ens210 relative humidity and temperature sensor by ams,249563,t,ens210 relative humidity
aaloxian,recording current,301377,e,
odeliss,show temperature humidity and pressure collected in the birdnest,553486,t,temperature humidity
fullcapacity,capasitty is a solar powered wi fi ap and usb recharge station bundled in a concrete park bench,343355,o,capasitty
rahul1081987,training temperaturesensor,572627,t,training temperaturesensor
stephanellis,temp sensors in the freezer,482566,t,temp sensors
chahatagarwal,average pollution intensity obtained such as to obtain alternate path with help of this value,390753,o,value
kkevin5135,self regulating temperature controller for infant warmers,451542,t,self regulating temperature controller
patriciaweek6,this is for the monitoring system,569413,u,monitoring system
patriciaweek6,this is for the monitoring system,569411,u,monitoring system
mikekgr,elias channel that hold temperature and humidity measures,169516,t,elias channel
ruby1708,short film science engineering,571822,u,short film science engineering
xevjlfy1978,thermostabilised box,174156,t,thermostabilised box
peteh59,temperature humidity and light level in master bedroom,7724,t,temperature humidity
aluiziorn,energy produced and battery charging data,225747,e,energy
marwol18,this is a raspberry pi 2 and dht22 based dy room condition monitoring system,339746,o,raspberry pi
daltonrdo,santaclaratempbot provide temperature and related infos in real time in santa clara california usa silicon valley powered by smartytempy a smartywiot solution wanna be an ambassador in your district wanna use our open data contact us,341850,t,temperature
tangophi,data coming from sensors and relay states from ac wall sockets outfitted with microcontrollers and esp8266 modules,32932,e,microcontrollers
kuroken72,temperature humidity monitor,340328,t,temperature humidity monitor
mengtzu0627,teacher,570885,u,teacher
thill2630,monitoring water levels to help automate water storage tank 2 sensor being installed and site temp humidity,480876,o,sensor
pmfacse,healthcare,571489,u,healthcare
adamjennison111,i am building many sensors using nodemcu and lua trying to connect everything together,64519,o,lua
dim4576,testing 2,467085,u,
joeattapon,to monitor humidity temperature and lighting at home,62113,t,lighting
geovogel,davis weather station on the roof of 417 mandarin flyway,210071,w,davis weather station
geovogel,power meter at 417 mandarin flyway,210077,e,power meter
Sander_826,temperature and humidity levels,98163,t,temperature
mavmav7757,for home use,404102,u,home use
murali18,to check the water level in dam,571590,o,water level
slingmaster,smart home,135846,u,smart home
sujay143,mathwork,571108,u,mathwork
intelekiot006,smart monitoring system for temperature humidity and light sensor,455671,t,smart monitoring system
akki2574,monitoring temperature using lm35 sensor,570312,t,temperature
powerware,rds110 thermostat,211038,t,rds110 thermostat
wsnmandi,data from node 2 located inside a1 office room,290092,u,a1 office room
nobo37,solar powered weather station esp32 running micropython,534753,w,solar powered weather station esp32
kerimc14,chcs project 6 axis data logging,570279,o,axis data logging
mifulapirus,do you want to know how many times you have squished your connected gato,270831,o,connected gato
ppet36,diy multi zone regulation in my house based on arduino dallas onewire bus and thermoelectric valves,83994,t,thermoelectric valves
zeeshan1996,practice work for iot lab,572819,u,practice work
abdullahyounis22,the purpose of this channel is totally related to internet of things with the help of this platform where we learn now things related to iot,572817,u,purpose
umerfarid53,the purpose of this channel is totally related to internet of things with the help of this platform we learn new things related to iot,572816,u,channel
nadiahijab,internet of things,572811,u,internet of things
skyscrapper007,it is the most emerging technology in cs field,572810,u,cs field
ferdicoast,home temperature monitoring,226971,t,home temperature monitoring
sapedu,room temperature humidity using si7021 lux using tsl2561 barometric pressure bmp180,316776,t,tsl2561 barometric pressure bmp180
softis,weather at taursa observatory,306254,w,weather
marinamyat,this channel measures pulse rate and temperature for id 569607,569607,t,channel measures pulse rate
karenbobiv,this is the air temperature at the pool,15365,t,pool
sarosh123,smart home automation using iot and arduino uno for 13 09 2018,574089,o,smart home automation
smishra401,record the health of tpms in every 18hrs,515960,o,hrs
pwntech002,computer room,478810,u,computer room
rubenayrapetyan,environment data of country house,308185,w,environment data of country house
anusha0103,measuring weather parameters,571313,w,weather parameters
ikarwisit,this channel shows temperature and pressure logged by raspberry pi and a bmp180 sensor using rpispy implementation,378718,t,temperature
